from;B-ch4;BB-ch4;B-electricity;BB-electricity;B-electricity;BB-electricity;B-h2;BB-h2;B-heat_central;BB-heat_central;B-heat_decentral;BB-heat_decentral
to;B-ch4-demand;BB-ch4-demand;B-electricity-bev_charging;BB-electricity-bev_charging;B-electricity-demand;BB-electricity-demand;B-h2-demand;BB-h2-demand;B-heat_central-demand;BB-heat_central-demand;B-heat_decentral-demand;BB-heat_decentral-demand
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-09-21 21:00:00;7.851598173515981;405.1665525114155;348.995346586972;1327.9588225728648;878.7333724200838;1986.5189198694854;408.42899543378996;692.6917808219177;752.9332441576701;380.66405830764757;609.519855273364;1206.8552609067876
2017-09-21 22:00:00;7.851598173515981;405.1665525114155;334.23793134930656;1275.216154919891;824.3159678820249;1863.4995751195204;408.42899543378996;692.6917808219177;562.3219978077195;295.5968125300927;459.46382539660357;941.3207593328499
2017-09-21 23:00:00;7.851598173515981;405.1665525114155;325.7792650716851;1248.2935322413525;791.7217221346161;1789.8150106221233;408.42899543378996;692.6917808219177;373.2754963298521;194.64377265300877;316.4644820057941;641.4495912369817
2017-09-22 00:00:00;7.851598173515981;405.1665525114155;319.0922045087216;1207.7140546246633;779.9203572950371;1763.1361165799622;408.42899543378996;692.6917808219177;296.43363237329515;149.3264912176767;265.0546683317796;515.7532063084109
2017-09-22 01:00:00;7.851598173515981;405.1665525114155;305.7746822622204;1179.2926297957038;787.0386408490689;1779.22814790698;408.42899543378996;692.6917808219177;303.3287945122265;153.67104156658604;274.8813543593442;536.679345618418
2017-09-22 02:00:00;7.851598173515981;405.1665525114155;298.2410435932207;1159.0869678279003;815.6990983166179;1844.0197477236568;408.42899543378996;692.6917808219177;311.41494557653954;159.24310217538437;293.8639639894363;575.7153514660844
2017-09-22 03:00:00;7.851598173515981;405.1665525114155;292.73885761114826;1155.3013973709778;890.9093837625065;2014.0447629288578;408.42899543378996;692.6917808219177;353.8533638424213;180.8282283533163;327.8913064723712;643.2397556409928
2017-09-22 04:00:00;7.851598173515981;405.1665525114155;291.60923383117256;1151.6285039495876;1018.1018714779696;2301.5839542721496;408.42899543378996;692.6917808219177;513.1821895087796;254.28054228308423;446.1657884232787;858.4586194186435
2017-09-22 05:00:00;7.851598173515981;405.1665525114155;296.215586322485;1158.2869281974727;1100.617763729312;2488.124475312974;408.42899543378996;692.6917808219177;851.0115659266072;409.4066848902777;728.7107521390242;1368.983150957846
2017-09-22 06:00:00;7.851598173515981;405.1665525114155;252.699627281111;829.8410553566958;1135.5535501194943;2567.102471167943;408.42899543378996;692.6917808219177;1033.6804280170186;495.843151815792;898.414033260399;1682.1280791978907
