from;r120640428428-biomass_gas-commodity;r120640472472-biomass_gas-commodity;r120670124124-biomass_gas-commodity;r120670201201-biomass_gas-commodity;r120640428428-biomass_solid-commodity;r120640472472-biomass_solid-commodity;r120670124124-biomass_solid-commodity;r120670201201-biomass_solid-commodity;r120640428428-electricity-import;r120640472472-electricity-import;r120670124124-electricity-import;r120670201201-electricity-import;r120640428428-h2-commodity;r120640472472-h2-commodity;r120670124124-h2-commodity;r120670201201-h2-commodity;r120640428428-residual_waste-commodity;r120640472472-residual_waste-commodity;r120670124124-residual_waste-commodity;r120670201201-residual_waste-commodity
to;r120640428428-biomass_gas;r120640472472-biomass_gas;r120670124124-biomass_gas;r120670201201-biomass_gas;r120640428428-biomass_solid;r120640472472-biomass_solid;r120670124124-biomass_solid;r120670201201-biomass_solid;r120640428428-electricity;r120640472472-electricity;r120670124124-electricity;r120670201201-electricity;r120640428428-h2;r120640472472-h2;r120670124124-h2;r120670201201-h2;r120640428428-residual_waste;r120640472472-residual_waste;r120670124124-residual_waste;r120670201201-residual_waste
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-07-04 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.59624874035155;8.641922859583953;2.9473163098525546;99.50530469125376;0.0;0.0;0.0;0.0;1.209826466935119;0.0;0.0;0.0
2019-07-04 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.1675946881076;7.970034230829909;2.6875779243534894;99.17773318063881;0.0;0.0;0.0;0.0;1.214306422490985;0.0;0.0;0.0
2019-07-04 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.995323005931965;7.63728139476237;2.600906896257;99.08323047682136;0.0;0.0;0.0;0.0;1.2042103483728084;0.0;0.0;0.0
2019-07-04 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.895004223960182;6.925901380348483;2.395894731541508;96.06481124299803;0.0;0.0;0.0;0.0;1.2114075673925198;0.0;0.0;0.0
2019-07-04 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.428571207023644;2.0639446131455275;0.7331637980322361;68.46492154901362;0.0;0.0;0.0;0.0;1.252062202292198;0.0;0.0;0.0
2019-07-04 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.551748623660085;7.878209023084424;2.831050728366647;96.47470759220873;0.0;0.0;0.0;0.0;1.3235480106852457;0.0;0.0;0.0
2019-07-04 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05662518761943733;32.39635934088456;15.40316599586655;5.725583146105219;110.92821760419771;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 08:00:00;0.0;0.0;0.0;0.0;0.04748779758013571;0.040219368489498294;0.02793328110046087;0.8667445316824974;27.69925122556625;15.311605881823063;5.809291096509949;90.42534920677838;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 09:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;29.973298285868566;16.09838871274794;5.6764557272656875;99.65978775370561;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 10:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;31.21133244939849;15.871997480590078;5.309438573200366;106.1708217512267;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 11:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;29.340736084460783;14.520519886087866;5.011777514846805;101.5888757683767;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 12:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;29.618586899480448;14.456428629912953;4.944715069670381;101.66299150262387;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 13:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;20.775759253007266;8.712036260014862;2.9292665648807104;75.16144689862752;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 14:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-04 15:00:00;0.0;0.0;0.0;0.0;0.02969453712776499;0.025149524545780275;0.01746692613693456;0.5631999324179597;1.0253616898178524;0.0;0.0;16.730211516493764;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
